"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp"
"910782","E02002330","E02005779",27,0,0,0,4,0,0,21,2,0,0,0,0,0.3,8.1,8.1
"910783","E02002330","E02005780",39,0,0,0,0,0,1,36,2,0,0,0,0,0.3,11.7,11.7
"910784","E02002330","E02005781",22,0,0,0,2,0,0,18,2,0,0,0,0,0.3,6.6,6.6
"910790","E02002330","E02005809",32,0,0,0,0,0,0,31,1,0,0,0,0,0.3,9.6,9.6
"910791","E02002330","E02005810",6,0,0,0,0,0,0,5,0,1,0,0,0,0.3,1.8,0.8
"910793","E02002330","E02005812",14,0,0,0,0,0,0,13,1,0,0,0,0,0.3,4.2,4.2
"910797","E02002330","E02005817",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910811","E02002330","E02006852",8,0,0,0,0,0,0,7,1,0,0,0,16265.8140194755,0.0115955299042299,0.0927642392338389,0.0927642392338389
"910812","E02002330","E02006861",5,0,0,0,0,0,0,5,0,0,0,0,16427.6330795795,0.0112262620428232,0.0561313102141162,0.0561313102141162
"910814","E02002330","E02006875",225,0,0,5,32,0,1,166,11,2,7,1,17597.184548594,0.00888483210468044,1.9990872235531,-0.00091277644690102
"910815","E02002330","E02006876",26,0,0,0,0,0,0,26,0,0,0,0,18822.228659969,0.0069541370582703,0.180807563515028,0.180807563515028
"910874","E02002331","E02002185",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910875","E02002331","E02002190",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910876","E02002331","E02002192",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910877","E02002331","E02002197",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910878","E02002331","E02002200",1,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3
"910879","E02002331","E02002202",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910880","E02002331","E02002204",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910881","E02002331","E02002212",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910882","E02002331","E02002217",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910883","E02002331","E02002220",6,0,0,0,0,0,0,6,0,0,0,0,0,0.3,1.8,1.8
"910884","E02002331","E02002221",6,0,0,0,0,0,0,6,0,0,0,0,0,0.3,1.8,1.8
"910885","E02002331","E02002223",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910886","E02002331","E02002227",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910887","E02002331","E02002230",1,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.3
"910888","E02002331","E02002232",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910889","E02002331","E02002238",1,0,0,0,0,0,0,0,0,0,1,0,0,0.3,0.3,0.3
"910890","E02002331","E02002242",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910891","E02002331","E02002246",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910895","E02002331","E02002271",2,0,0,0,0,0,0,0,0,2,0,0,0,0.3,0.6,-1.4
"910896","E02002331","E02002272",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910897","E02002331","E02002280",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910898","E02002331","E02002284",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910899","E02002331","E02002286",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910900","E02002331","E02002287",2,0,0,0,1,0,0,1,0,0,0,0,0,0.3,0.6,0.6
"910901","E02002331","E02002292",1,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3
"910902","E02002331","E02002293",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910903","E02002331","E02002294",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910904","E02002331","E02002296",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910908","E02002331","E02002316",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910909","E02002331","E02002330",36,0,0,0,1,0,0,14,2,0,19,0,3549.22087816988,0.147516244072655,5.31058478661559,5.31058478661559
"910910","E02002331","E02002331",849,0,0,0,34,1,6,363,53,36,355,1,0,0.3,254.7,218.7
"910911","E02002331","E02002333",3,0,0,0,1,0,0,2,0,0,0,0,22470.4248053554,0.0033524704224023,0.0100574112672069,0.0100574112672069
"910912","E02002331","E02002334",92,0,0,0,8,0,0,61,3,1,19,0,4512.55450516954,0.121665025237202,11.1931823218226,10.1931823218226
"910913","E02002331","E02002335",19,0,0,0,0,0,0,15,2,1,1,0,8813.55414553048,0.0514737333515356,0.978000933679176,-0.0219990663208238
"910914","E02002331","E02002336",9,0,0,0,0,0,0,9,0,0,0,0,18636.5246219512,0.00721727566706564,0.0649554810035908,0.0649554810035908
"910915","E02002331","E02002339",1,0,0,0,0,0,0,1,0,0,0,0,23569.1451941588,0.00269110916015235,0.00269110916015235,0.00269110916015235
